clave,texto_aleman
news.hero.title,"Aktuelle Nachrichten aus der Schifffahrt,Entdecken Sie exklusive und aktuelle Informationen über die internationale Schifffahrt mit Schwerpunkt auf Europa und Nordafrika,Lesen Sie weiter,Neueste Artikel,Aktuelle Nachrichten | Bongiorno Transport,Erfahren Sie die neuesten Nachrichten und Einblicke in den internationalen Transport, die Logistik und die Lieferkette..,Datenschutzerklärung,Letzte Aktualisierung: 09/12/2025,Bongiorno Srl,Via del Gonfalone 4, 20123 Milano (MI) - Secondary Office: Via Marsala 40/c, 21013 Gallarate (VA),Informationen gemäß Art. 13 der GDPR, EU-Verordnung 2016/679 und D.Lgs. 196/2003,Wir informieren Sie darüber, dass Ihre personenbezogenen Daten in Übereinstimmung mit den Vorschriften zum Schutz personenbezogener Daten, EU-Verordnung 2016/679 (""GDPR"") und D. Lgs. 196/2003 et seq.mm.ii verarbeitet werden. (""Datenschutzkodex""),Datenschutzbeauftragter (DSB),Das Unternehmen hat einen Datenschutzbeauftragten (DSB) ernannt, der unter der folgenden E-Mail-Adresse kontaktiert werden kann:,Kategorien verarbeiteter personenbezogener Daten,Folgende Kategorien von Daten werden verarbeitet:,Personenbezogene Daten natürlicher Personen, die das Unternehmen über die Website oder andere Kanäle kontaktieren, um Angebote oder Informationen anzufordern...,Unternehmensdaten von anderen als natürlichen Personen, die an Anfragen oder der Verwaltung von Sendungen beteiligt sind,,Daten bezüglich der zu versendenden Waren,,Daten bezüglich der Abhol- und Lieferorte,,Daten bezüglich der Eignung von Transportmitteln und Fahrern für Sendungen, die besonderen Genehmigungen/Beschränkungen unterliegen (z. B. ADR/IMO-Waren, außerhalb der Spurweite),,Daten von Kontaktpersonen für Angebote, Versandaufträge, Informationsanfragen, Rechnungsstellung, Zahlungen, Verwaltung von Nichtzahlungen und Antworten...,Daten, die zur Erfüllung von Transport-, Zoll- und Verwaltungsverpflichtungen erforderlich sind, die von Behörden, Zollbehörden, Spediteuren, Schifffahrtsunternehmen, Fluggesellschaften, Zollmaklern, Versicherungsgesellschaften, Banken, Transportagenturen und Strafverfolgungsbehörden auf nationaler, EU- und Nicht-EU-Basis verlangt werden"
news.hero.subtitle,
news.featured.readMore,
news.sidebar.title,
news.meta.title,
news.meta.description,
privacy.title,
privacy.lastUpdated,
privacy.controller.name,
privacy.controller.piva,10408830155
privacy.controller.address,
privacy.controller.email,bongiornosrl@bongiornosrl.com
privacy.controller.pec,bongiornosrl@legalmail.it
privacy.sections[0].id,intro
privacy.sections[0].heading,
privacy.sections[0].subtitle,
privacy.sections[0].content[0],
privacy.sections[1].id,dpo
privacy.sections[1].heading,
privacy.sections[1].content[0],
privacy.sections[1].content[1],luca.confalonieri@bongiornosrl.com
privacy.sections[2].id,data-categories
privacy.sections[2].heading,
privacy.sections[2].content[0],
privacy.sections[2].list[0],
privacy.sections[2].list[1],
privacy.sections[2].list[2],
privacy.sections[2].list[3],
privacy.sections[2].list[4],
privacy.sections[2].list[5],
privacy.sections[2].list[6],
privacy.sections[3].id,
